Date,channel_id,channel_title,subscribers,total_views,video_count,Revenue
2025-02-23,UC_synth_channel_123,Tech Mastery AI,13105,33923,114,4.42
2025-02-24,UC_synth_channel_123,Tech Mastery AI,13157,34531,115,3.41
2025-02-25,UC_synth_channel_123,Tech Mastery AI,13203,35249,115,3.87
2025-02-26,UC_synth_channel_123,Tech Mastery AI,13226,35938,115,3.33
2025-02-27,UC_synth_channel_123,Tech Mastery AI,13267,36574,115,2.85
2025-02-28,UC_synth_channel_123,Tech Mastery AI,13316,37282,116,3.38
2025-03-01,UC_synth_channel_123,Tech Mastery AI,13385,37988,116,4.13
2025-03-02,UC_synth_channel_123,Tech Mastery AI,13449,39057,116,5.58
2025-03-03,UC_synth_channel_123,Tech Mastery AI,13483,39861,117,3.91
2025-03-04,UC_synth_channel_123,Tech Mastery AI,13541,40584,117,3.52
2025-03-05,UC_synth_channel_123,Tech Mastery AI,13576,41373,117,4.39
2025-03-06,UC_synth_channel_123,Tech Mastery AI,13604,41835,117,2.29
2025-03-07,UC_synth_channel_123,Tech Mastery AI,13668,42528,118,2.55
2025-03-08,UC_synth_channel_123,Tech Mastery AI,13736,43672,118,6.07
2025-03-09,UC_synth_channel_123,Tech Mastery AI,13820,44401,118,4.1
2025-03-10,UC_synth_channel_123,Tech Mastery AI,13868,45081,118,3.6
2025-03-11,UC_synth_channel_123,Tech Mastery AI,13917,45659,119,2.4
2025-03-12,UC_synth_channel_123,Tech Mastery AI,13990,46053,119,1.94
2025-03-13,UC_synth_channel_123,Tech Mastery AI,14041,46950,119,4.64
2025-03-14,UC_synth_channel_123,Tech Mastery AI,14092,47797,120,4.87
2025-03-15,UC_synth_channel_123,Tech Mastery AI,14156,48434,120,3.04
2025-03-16,UC_synth_channel_123,Tech Mastery AI,14279,49061,120,3.27
2025-03-17,UC_synth_channel_123,Tech Mastery AI,14311,49820,120,3.68
2025-03-18,UC_synth_channel_123,Tech Mastery AI,14331,50444,121,3.35
2025-03-19,UC_synth_channel_123,Tech Mastery AI,14387,50911,121,1.86
2025-03-20,UC_synth_channel_123,Tech Mastery AI,14400,51662,121,3.8
2025-03-21,UC_synth_channel_123,Tech Mastery AI,14465,52443,122,3.78
2025-03-22,UC_synth_channel_123,Tech Mastery AI,14525,53425,122,5.06
2025-03-23,UC_synth_channel_123,Tech Mastery AI,14627,54532,122,5.27
2025-03-24,UC_synth_channel_123,Tech Mastery AI,14663,55204,122,3.37
2025-03-25,UC_synth_channel_123,Tech Mastery AI,14735,55900,123,3.26
2025-03-26,UC_synth_channel_123,Tech Mastery AI,14778,56422,123,2.9
2025-03-27,UC_synth_channel_123,Tech Mastery AI,14806,57167,123,3.41
2025-03-28,UC_synth_channel_123,Tech Mastery AI,14850,57995,124,4.51
2025-03-29,UC_synth_channel_123,Tech Mastery AI,14943,59079,124,5.88
2025-03-30,UC_synth_channel_123,Tech Mastery AI,15004,60685,124,8.06
2025-03-31,UC_synth_channel_123,Tech Mastery AI,15092,61661,124,4.99
2025-04-01,UC_synth_channel_123,Tech Mastery AI,15136,62463,125,4.13
2025-04-02,UC_synth_channel_123,Tech Mastery AI,15186,63340,125,4.49
2025-04-03,UC_synth_channel_123,Tech Mastery AI,15251,64245,125,5.37
2025-04-04,UC_synth_channel_123,Tech Mastery AI,15308,65064,125,4.03
2025-04-05,UC_synth_channel_123,Tech Mastery AI,15376,66045,126,4.72
2025-04-06,UC_synth_channel_123,Tech Mastery AI,15440,67146,126,5.76
2025-04-07,UC_synth_channel_123,Tech Mastery AI,15470,67972,126,3.8
2025-04-08,UC_synth_channel_123,Tech Mastery AI,15515,68987,127,4.67
2025-04-09,UC_synth_channel_123,Tech Mastery AI,15581,69781,127,3.4
2025-04-10,UC_synth_channel_123,Tech Mastery AI,15643,70576,127,3.6
2025-04-11,UC_synth_channel_123,Tech Mastery AI,15685,71291,127,3.55
2025-04-12,UC_synth_channel_123,Tech Mastery AI,15752,72545,128,5.78
2025-04-13,UC_synth_channel_123,Tech Mastery AI,15852,73193,128,3.66
2025-04-14,UC_synth_channel_123,Tech Mastery AI,15901,73841,128,3.43
2025-04-15,UC_synth_channel_123,Tech Mastery AI,15951,74438,129,3.07
2025-04-16,UC_synth_channel_123,Tech Mastery AI,15978,75169,129,3.07
2025-04-17,UC_synth_channel_123,Tech Mastery AI,16053,76001,129,3.64
2025-04-18,UC_synth_channel_123,Tech Mastery AI,16123,76837,129,4.61
2025-04-19,UC_synth_channel_123,Tech Mastery AI,16179,77687,130,4.28
2025-04-20,UC_synth_channel_123,Tech Mastery AI,16255,78267,130,2.72
2025-04-21,UC_synth_channel_123,Tech Mastery AI,16315,79118,130,4.04
2025-04-22,UC_synth_channel_123,Tech Mastery AI,16353,79882,131,4.25
2025-04-23,UC_synth_channel_123,Tech Mastery AI,16389,80241,131,1.58
2025-04-24,UC_synth_channel_123,Tech Mastery AI,16438,81195,131,4.02
2025-04-25,UC_synth_channel_123,Tech Mastery AI,16501,82056,131,4.32
2025-04-26,UC_synth_channel_123,Tech Mastery AI,16612,83128,132,5.28
2025-04-27,UC_synth_channel_123,Tech Mastery AI,16694,84460,132,6.81
2025-04-28,UC_synth_channel_123,Tech Mastery AI,16751,85493,132,5.94
2025-04-29,UC_synth_channel_123,Tech Mastery AI,16805,86349,132,4.18
2025-04-30,UC_synth_channel_123,Tech Mastery AI,16878,86888,133,2.72
2025-05-01,UC_synth_channel_123,Tech Mastery AI,16921,87742,133,4.85
2025-05-02,UC_synth_channel_123,Tech Mastery AI,16978,88512,133,3.77
2025-05-03,UC_synth_channel_123,Tech Mastery AI,17053,89863,134,6.68
2025-05-04,UC_synth_channel_123,Tech Mastery AI,17143,90997,134,5.5
2025-05-05,UC_synth_channel_123,Tech Mastery AI,17189,92087,134,4.9
2025-05-06,UC_synth_channel_123,Tech Mastery AI,17234,92883,134,3.58
2025-05-07,UC_synth_channel_123,Tech Mastery AI,17258,93756,135,4.13
2025-05-08,UC_synth_channel_123,Tech Mastery AI,17320,94576,135,4.11
2025-05-09,UC_synth_channel_123,Tech Mastery AI,17370,95367,135,4.13
2025-05-10,UC_synth_channel_123,Tech Mastery AI,17475,96544,136,6.26
2025-05-11,UC_synth_channel_123,Tech Mastery AI,17567,97359,136,4.07
2025-05-12,UC_synth_channel_123,Tech Mastery AI,17615,98255,136,3.79
2025-05-13,UC_synth_channel_123,Tech Mastery AI,17670,99045,136,4.68
2025-05-14,UC_synth_channel_123,Tech Mastery AI,17712,99895,137,4.53
2025-05-15,UC_synth_channel_123,Tech Mastery AI,17740,100901,137,4.57
2025-05-16,UC_synth_channel_123,Tech Mastery AI,17806,101871,137,4.58
2025-05-17,UC_synth_channel_123,Tech Mastery AI,17891,103392,137,6.74
2025-05-18,UC_synth_channel_123,Tech Mastery AI,17984,104431,138,5.75
2025-05-19,UC_synth_channel_123,Tech Mastery AI,18025,105113,138,3.07
2025-05-20,UC_synth_channel_123,Tech Mastery AI,18062,105865,138,4.27
2025-05-21,UC_synth_channel_123,Tech Mastery AI,18100,106571,139,3.35
2025-05-22,UC_synth_channel_123,Tech Mastery AI,18143,107479,139,4.34
2025-05-23,UC_synth_channel_123,Tech Mastery AI,18213,108525,139,4.87
2025-05-24,UC_synth_channel_123,Tech Mastery AI,18318,109805,139,6.39
2025-05-25,UC_synth_channel_123,Tech Mastery AI,18396,110780,140,5.06
2025-05-26,UC_synth_channel_123,Tech Mastery AI,18420,111707,140,4.2
2025-05-27,UC_synth_channel_123,Tech Mastery AI,18472,112718,140,4.42
2025-05-28,UC_synth_channel_123,Tech Mastery AI,18520,113472,141,3.41
2025-05-29,UC_synth_channel_123,Tech Mastery AI,18582,114256,141,3.59
2025-05-30,UC_synth_channel_123,Tech Mastery AI,18632,115123,141,3.5
2025-05-31,UC_synth_channel_123,Tech Mastery AI,18706,116194,141,5.55
2025-06-01,UC_synth_channel_123,Tech Mastery AI,18793,117515,142,7.35
2025-06-02,UC_synth_channel_123,Tech Mastery AI,18831,118410,142,4.67
2025-06-03,UC_synth_channel_123,Tech Mastery AI,18909,119328,142,4.36
2025-06-04,UC_synth_channel_123,Tech Mastery AI,18964,120002,143,3.45
2025-06-05,UC_synth_channel_123,Tech Mastery AI,19001,120987,143,5.13
2025-06-06,UC_synth_channel_123,Tech Mastery AI,19059,121923,143,4.66
2025-06-07,UC_synth_channel_123,Tech Mastery AI,19161,123373,143,8.13
2025-06-08,UC_synth_channel_123,Tech Mastery AI,19211,124354,144,4.34
2025-06-09,UC_synth_channel_123,Tech Mastery AI,19268,125466,144,5.37
2025-06-10,UC_synth_channel_123,Tech Mastery AI,19307,126661,144,6.69
2025-06-11,UC_synth_channel_123,Tech Mastery AI,19357,128125,144,7.61
2025-06-12,UC_synth_channel_123,Tech Mastery AI,19394,128693,145,2.86
2025-06-13,UC_synth_channel_123,Tech Mastery AI,19463,130072,145,7.16
2025-06-14,UC_synth_channel_123,Tech Mastery AI,19568,131119,145,5.73
2025-06-15,UC_synth_channel_123,Tech Mastery AI,19666,132893,146,10.52
2025-06-16,UC_synth_channel_123,Tech Mastery AI,19723,133554,146,3.29
2025-06-17,UC_synth_channel_123,Tech Mastery AI,19782,134533,146,4.84
2025-06-18,UC_synth_channel_123,Tech Mastery AI,19828,135481,146,4.64
2025-06-19,UC_synth_channel_123,Tech Mastery AI,19899,136710,147,5.53
2025-06-20,UC_synth_channel_123,Tech Mastery AI,19966,137475,147,4.36
2025-06-21,UC_synth_channel_123,Tech Mastery AI,20034,138480,147,4.14
2025-06-22,UC_synth_channel_123,Tech Mastery AI,20075,140146,148,6.76
2025-06-23,UC_synth_channel_123,Tech Mastery AI,20140,141268,148,5.15
2025-06-24,UC_synth_channel_123,Tech Mastery AI,20171,142435,148,6.38
2025-06-25,UC_synth_channel_123,Tech Mastery AI,20217,143608,148,5.24
2025-06-26,UC_synth_channel_123,Tech Mastery AI,20272,144688,149,5.38
2025-06-27,UC_synth_channel_123,Tech Mastery AI,20304,145526,149,4.69
2025-06-28,UC_synth_channel_123,Tech Mastery AI,20414,146489,149,4.91
2025-06-29,UC_synth_channel_123,Tech Mastery AI,20501,148072,150,7.14
